ans = x0 alpha lambda iteraciones punto-final
ans = (0.00, 0.00) 0.367 0.367 10000 (-10.34, -12.81)
ans = (0.00, 0.00) 0.367 0.472 10000 (-9.92, -11.81)
ans = (0.00, 0.00) 0.367 0.578 10000 (-9.58, -11.05)
ans = (0.00, 0.00) 0.367 0.683 10000 (-9.30, -10.46)
ans = (0.00, 0.00) 0.367 0.789 10000 (-9.06, -9.97)
ans = (0.00, 0.00) 0.367 0.894 10000 (-8.86, -9.56)
ans = (0.00, 0.00) 0.367 1.000 10000 (-8.67, -9.20)
ans = (0.00, 0.00) 0.472 0.050 6966 (9.28, 25.15)
ans = (0.00, 0.00) 0.472 0.156 10000 (-12.15, -18.10)
ans = (0.00, 0.00) 0.472 0.261 10000 (-11.37, -15.41)
ans = (0.00, 0.00) 0.472 0.367 10000 (-10.80, -13.86)
ans = (0.00, 0.00) 0.472 0.472 10000 (-10.37, -12.79)
ans = (0.00, 0.00) 0.472 0.578 10000 (-10.03, -11.99)
ans = (0.00, 0.00) 0.472 0.683 10000 (-9.74, -11.36)
ans = (0.00, 0.00) 0.472 0.789 10000 (-9.50, -10.83)
ans = (0.00, 0.00) 0.472 0.894 10000 (-9.29, -10.39)
ans = (0.00, 0.00) 0.472 1.000 10000 (-9.10, -10.02)
ans = (0.00, 0.00) 0.578 0.050 5689 (9.17, 25.17)
ans = (0.00, 0.00) 0.578 0.156 10000 (-12.57, -19.19)
ans = (0.00, 0.00) 0.578 0.261 10000 (-11.77, -16.37)
ans = (0.00, 0.00) 0.578 0.367 10000 (-11.18, -14.74)
ans = (0.00, 0.00) 0.578 0.472 10000 (-10.74, -13.62)
ans = (0.00, 0.00) 0.578 0.578 10000 (-10.39, -12.78)
ans = (0.00, 0.00) 0.578 0.683 10000 (-10.10, -12.11)
ans = (0.00, 0.00) 0.578 0.789 10000 (-9.85, -11.56)
ans = (0.00, 0.00) 0.578 0.894 10000 (-9.64, -11.10)
ans = (0.00, 0.00) 0.578 1.000 10000 (-9.45, -10.70)
ans = (0.00, 0.00) 0.683 0.050 4812 (9.25, 25.15)
ans = (0.00, 0.00) 0.683 0.156 10000 (-12.93, -20.14)
ans = (0.00, 0.00) 0.683 0.261 10000 (-12.10, -17.20)
