ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.50, alpha = 0.90, iter = 31, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.50, alpha = 1.03, iter = 40, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.50, alpha = 1.17, iter = 23, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.50, alpha = 1.30, iter = 298, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.10, iter = 294, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.23, iter = 130, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.37, iter = 84, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.50, iter = 62, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.63, iter = 49, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.77, iter = 41, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 0.90, iter = 34, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 1.03, iter = 115, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 1.17, iter = 34, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.63, alpha = 1.30, iter = 57, valor = 0.00
ans = x0 = (-1.00, 0.00), x1 = (1.00, 1.00), lambda = 0.77, alpha = 0.10, iter = 319, valor = 0.00
